name,lat,lng,sector_label
Augsburg College,44.965636,-93.241418,Private
Augusta University,33.47077,-81.990651,Public
Augustana College,41.502365,-90.55057,Private
Augustana University,43.525939,-96.738507,Private
Aultman College of Nursing and Health Sciences,40.796865,-81.404182,Private
Aurora University,41.754465,-88.349469,Private
Austin College,33.646307,-96.598772,Private
Austin Graduate School of Theology,30.343788,-97.711706,Private
Austin Peay State University,36.533319,-87.354081,Public
Austin Presbyterian Theological Seminary,30.292635,-97.737752,Private
Ave Maria School of Law,26.24209,-81.731045,Private
Ave Maria University,26.33711,-81.441082,Private
Averett University,36.577273,-79.413214,Private
Averett University-Non-Traditional Programs,36.577257,-79.413195,Private
Avila University,38.912159,-94.591387,Private
Azusa Pacific University,34.130865,-117.88795,Private
Azusa Pacific University College,34.110723,-117.827484,Private
Babson College,42.299958,-71.265585,Private
Bacone College,35.77707,-95.335337,Private
Bainbridge State College,30.899474,-84.535049,Public
Bais Binyomin Academy,41.12264,-74.078981,Private
Bais HaMedrash and Mesivta of Baltimore,39.379528,-76.674414,Private
Bais Medrash Elyon,41.114079,-74.069798,Private
Bais Medrash Toras Chesed,40.099704,-74.21127,Private
Baker College,42.974764,-83.694679,Private
Baker University,38.777278,-95.188231,Private
Bakersfield College,35.4108,-118.973491,Public
Bakke Graduate University,32.89442,-96.753881,Private
Baldwin Wallace University,41.373017,-81.851145,Private
Ball State University,40.203431,-85.409043,Public
Bank Street College of Education,40.805604,-73.966643,Private
Baptist Bible College,37.239731,-93.285385,Private
Baptist Health System School of Health Professions,29.517296,-98.568633,For-Profit
Baptist Memorial College of Health Sciences,35.138415,-90.027501,Private
Baptist Missionary Association Theological Seminary,31.978961,-95.255524,Private
Baptist Theological Seminary at Richmond,37.632354,-77.468483,Private
Baptist University of the Americas,29.34998,-98.546081,Private
Barclay College,37.620691,-99.104027,Private
Bard College,42.020386,-73.909927,Private
Bard College at Simon's Rock,42.209241,-73.380008,Private
Barnard College,40.809137,-73.964027,Private
Barnes-Jewish College Goldfarb School of Nursing,38.636881,-90.260648,Private
Barry University,25.878865,-80.196136,Private
Barton College,35.735463,-77.913805,Private
Bastyr University,47.729935,-122.251708,Private
Bates College,44.105299,-70.203333,Private
Bauder College,33.767494,-84.399724,For-Profit
Bay Path University,42.055364,-72.583974,Private
Bay State College,42.351965,-71.076956,For-Profit
Baylor College of Medicine,29.7106,-95.395743,Private
Baylor University,31.545956,-97.119359,Private
Be'er Yaakov Talmudic Seminary,41.13905,-74.028425,Private
Beacon College,28.810799,-81.875619,Private
Becker College,42.26918,-71.811895,Private
Beckfield College-Florence,39.017166,-84.641475,For-Profit
Beis Medrash Heichal Dovid,41.33127,-74.159642,Private
Belhaven University,32.318415,-90.169228,Private
Bellarmine University,38.219138,-85.7049,Private
Bellevue College,47.584778,-122.149955,Public
Bellevue University,41.150225,-95.91764,Private
Bellin College,44.468277,-87.921722,Private
Bellingham Technical College,48.766189,-122.51216,Public
Belmont Abbey College,35.260651,-81.041315,Private
Belmont University,36.133866,-86.794715,Private
Beloit College,42.50363,-89.03147,Private
Bemidji State University,47.482505,-94.874529,Public
Benedict College,34.011285,-81.021412,Private
Benedictine College,39.572953,-95.111424,Private
Benedictine University,41.777569,-88.097307,Private
Benjamin Franklin Institute of Technology,42.346023,-71.070231,Public
Bennett College,36.067531,-79.77998,Private
Bennington College,42.919547,-73.237799,Private
Bentley University,42.388798,-71.220148,Private
Berea College,37.573334,-84.289332,Private
Bergin University of Canine Studies,38.353867,-122.721175,Private
Berkeley College-New York,40.754043,-73.979577,For-Profit
Berkeley College-Woodland Park,40.90208,-74.188765,For-Profit
Berklee College of Music,42.346895,-71.08703,Private
Berry College,34.290414,-85.189202,Private
Bet Medrash Gadol Ateret Torah,40.607809,-73.969945,Private
Beth Hamedrash Shaarei Yosher Institute,40.635503,-73.981088,Private
Beth Hatalmud Rabbinical College,40.605394,-73.993039,Private
Beth Medrash Govoha,40.095461,-74.220777,Private
Beth Medrash Meor Yitzchok,41.100906,-74.060843,Private
Beth Medrash of Asbury Park,40.04368,-74.211131,Private
Bethany College,40.205819,-80.560056,Private
Bethany College,38.5786,-97.673173,Private
Bethany Global University,44.795501,-93.371754,Private
Bethany Lutheran College,44.166485,-93.990744,Private
Bethany Theological Seminary,39.8265,-84.9099,Private
Bethel College,37.04095,-76.409141,Private
Bethel College-Indiana,41.678399,-86.194686,Private
Bethel College-North Newton,38.07525,-97.342572,Private
Bethel Seminary-San Diego,32.765189,-117.066378,Private
Bethel Seminary-St Paul,45.058775,-93.159786,Private
Bethel University,45.057091,-93.159295,Private
Bethel University,36.139271,-88.516162,Private
Bethesda University,33.842295,-117.941323,Private
Bethlehem College & Seminary,44.968872,-93.255399,Private
Bethune-Cookman University,29.210193,-81.031429,Private
Beulah Heights University,33.737022,-84.358086,Private
Beverly Hills Design Institute,34.06463,-118.375621,For-Profit
Bexley Hall Seabury Western Theological Seminary Federation  Inc.,41.785693,-87.591173,Private
Biblical Theological Seminary,40.281414,-75.303897,Private
Biola University,33.904823,-118.017342,Private
Birmingham Southern College,33.513774,-86.850552,Private
Birthingway College of Midwifery,45.476809,-122.538471,Private
Bismarck State College,46.821459,-100.816534,Public
Black Hills State University,44.494889,-103.870966,Public
Blackburn College,39.288298,-89.872248,Private
Blessing Rieman College of Nursing and Health Sciences,39.936549,-91.399045,Private
Bloomfield College,40.794218,-74.19593,Private
Bloomsburg University of Pennsylvania,41.007989,-76.446383,Public
Blue Mountain College,34.67209,-89.02924,Private
Bluefield College,37.244557,-81.246233,Private
Bluefield State College,37.26688,-81.235428,Public
Bluffton University,40.896998,-83.897678,Private
Bob Jones University,34.87402,-82.36329,For-Profit
Boise Bible College,43.657437,-116.290607,Private
Boise State University,43.604403,-116.205789,Public
Bon Secours Memorial College of Nursing,37.646876,-77.433191,Private
Boricua College,40.833434,-73.9458,Private
Boston Architectural College,42.34867,-71.085851,Private
Boston Baptist College,42.254037,-71.1103,Private
Boston College,42.337688,-71.171488,Private
Boston Graduate School of Psychoanalysis Inc,42.339481,-71.133025,Private
Boston University,42.349581,-71.09984,Private
Bowdoin College,43.907134,-69.963942,Private
Bowie State University,39.018185,-76.759721,Public
Bowling Green State University-Main Campus,41.375513,-83.640896,Public
Bradley University,40.697605,-89.61462,Private
Brandeis University,42.364947,-71.254716,Private
Brandman University,33.656401,-117.769012,Private
Brazosport College,29.04836,-95.409004,Public
Brenau University,34.303117,-83.821513,Private
Brescia University,37.768989,-87.111533,Private
Brevard College,35.237657,-82.729763,Private
Brewton-Parker College,32.185718,-82.586136,Private
Briar Cliff University,42.526919,-96.42696,Private
Briarcliffe College,40.758196,-73.495305,For-Profit
Bridgewater College,38.378391,-78.969011,Private
Bridgewater State University,41.98749,-70.974553,Public
Brigham Young University-Hawaii,21.641172,-157.925358,Private
Brigham Young University-Idaho,43.818408,-111.782431,Private
Brigham Young University-Provo,40.250851,-111.649281,Private
Bristol University,33.795518,-117.882334,For-Profit
Brite Divinity School,32.709543,-97.361561,Private
Broadview Entertainment Arts University,40.717369,-111.884491,For-Profit
Broadview University-Boise,43.58943,-116.360151,For-Profit
Broadview University-Layton,41.068684,-111.981552,For-Profit
Broadview University-Orem,40.314203,-111.72321,For-Profit
Broadview University-West Jordan,40.609883,-111.942296,For-Profit
Brookline College-Albuquerque,35.086652,-106.687499,For-Profit
Brookline College-Phoenix,33.566102,-112.112473,For-Profit
Brookline College-Tucson,32.207932,-110.876375,For-Profit
Brooklyn Law School,40.692662,-73.990535,Private
Brooks Institute,34.337949,-119.294581,For-Profit
Broward College,26.119422,-80.14183,Public
Brown Mackie College-Akron,41.096846,-81.590449,For-Profit
Brown Mackie College-Albuquerque,35.07932,-106.52703,For-Profit
Brown Mackie College-Birmingham,33.46782,-86.828321,For-Profit
Brown Mackie College-Boise,43.590789,-116.295147,For-Profit
Brown Mackie College-Cincinnati,39.255963,-84.45701,For-Profit
Brown Mackie College-Dallas,32.84154,-97.115771,For-Profit
Brown Mackie College-Findlay,41.058515,-83.619502,For-Profit
Brown Mackie College-Fort Wayne,41.109132,-85.101966,For-Profit
Brown Mackie College-Greenville,34.853042,-82.394503,For-Profit
Brown Mackie College-Indianapolis,39.783638,-86.157795,For-Profit
Brown Mackie College-Louisville,38.157272,-85.696715,For-Profit
Brown Mackie College-Merrillville,41.473702,-87.326134,For-Profit
Brown Mackie College-Miami,25.973847,-80.350723,For-Profit
Brown Mackie College-Michigan City,41.679718,-86.887613,For-Profit
Brown Mackie College-North Canton,40.844878,-81.429211,For-Profit
Brown Mackie College-Northern Kentucky,39.041923,-84.571708,For-Profit
Brown Mackie College-Oklahoma City,35.5599,-97.639761,For-Profit
Brown Mackie College-Phoenix,33.6054,-112.118464,For-Profit
Brown Mackie College-Salina,38.80524,-97.613913,For-Profit
Brown Mackie College-San Antonio,29.49426,-98.555881,For-Profit
Brown Mackie College-South Bend,41.708281,-86.1999,For-Profit
Brown Mackie College-St Louis,38.54435,-90.43652,For-Profit
Brown Mackie College-Tucson,32.236736,-110.895086,For-Profit
Brown Mackie College-Tulsa,36.09694,-95.853318,For-Profit
Brown University,41.82617,-71.40385,Private
Bryan College of Health Sciences,40.796768,-96.651532,Private
Bryan College-Dayton,35.497209,-84.999552,Private
Bryan University,34.061406,-118.302882,For-Profit
Bryan University,37.135397,-93.248107,For-Profit
Bryant & Stratton College-Akron,41.1282,-81.655095,For-Profit
Bryant & Stratton College-Albany,42.697996,-73.810438,For-Profit
Bryant & Stratton College-Amherst,43.04079,-78.742813,For-Profit
Bryant & Stratton College-Bayshore,43.118941,-87.9154,For-Profit
Bryant & Stratton College-Buffalo,42.886474,-78.874095,For-Profit
Bryant & Stratton College-Cleveland,41.503009,-81.666136,For-Profit
Bryant & Stratton College-Eastlake,41.639256,-81.43532,For-Profit
Bryant & Stratton College-Greece,43.240547,-77.69559,For-Profit
Bryant & Stratton College-Hampton,37.04386,-76.39268,For-Profit
Bryant & Stratton College-Milwaukee,43.039176,-87.915286,For-Profit
Bryant & Stratton College-Online,42.790162,-78.768899,For-Profit
Bryant & Stratton College-Parma,41.40511,-81.783618,For-Profit
Bryant & Stratton College-Richmond,37.460414,-77.542139,For-Profit
Bryant & Stratton College-Southtowns,42.790182,-78.770366,For-Profit
Bryant & Stratton College-Syracuse North,43.189609,-76.240182,For-Profit
Bryant & Stratton College-Virginia Beach,36.82779,-76.138144,For-Profit
Bryant & Stratton College-Wauwatosa,43.043214999999996,-88.050983,For-Profit
Bryant University,41.920092,-71.539547,Private
Bryn Athyn College of the New Church,40.131358,-75.06093,Private
Bryn Mawr College,40.028541,-75.314988,Private
Bucknell University,40.954317,-76.882616,Private
Buena Vista University,42.642255,-95.208529,Private
Burrell College of Osteopathic Medicine,32.278068,-106.737787,For-Profit
Butler University,39.840662,-86.171791,Private
Byzantine Catholic Seminary of Saints Cyril and Methodius,40.484409,-80.015825,Private
Cabarrus College of Health Sciences,35.438139,-80.60119,Private
Cabrini University,40.056355,-75.375263,Private
Cairn University-Langhorne,40.165809,-74.909509,Private
Caldwell University,40.834285,-74.273697,Private
California Baptist University,33.928569,-117.42587,Private
California Christian College,36.749366,-119.711123,Private
California College of the Arts,37.767485,-122.399451,Private
California College San Diego,33.138303,-117.160658,Private
California College San Diego,32.835221,-117.166966,Private
California Health Sciences University,36.83271,-119.701781,For-Profit
California Institute of Advanced Management,34.071748,-118.061293,Private
California Institute of Integral Studies,37.774768,-122.416537,Private
California Institute of Technology,34.139275,-118.12574,Private
California Institute of the Arts,34.393337,-118.567303,Private
California Intercontinental University,33.696413,-117.850961,For-Profit
California International Business University,32.718012,-117.16803,Private
California Jazz Conservatory,37.871235,-122.268878,Private
California Lutheran University,34.225551,-118.879467,Private
California Miramar University,32.77942,-117.11851,For-Profit
California Polytechnic State University-San Luis Obispo,35.299513,-120.65731100000001,Public
California State Polytechnic University-Pomona,34.054273,-117.819019,Public
California State University Maritime Academy,38.069061,-122.231551,Public
California State University-Bakersfield,35.350005,-119.104711,Public
California State University-Channel Islands,34.162949,-119.04356,Public
California State University-Chico,39.729712,-121.844859,Public
California State University-Dominguez Hills,33.86524,-118.259316,Public
California State University-East Bay,37.65707,-122.058073,Public
California State University-Fresno,36.814477,-119.748258,Public
California State University-Fullerton,33.883627,-117.885349,Public
California State University-Long Beach,33.782818,-118.11204,Public
California State University-Los Angeles,34.066927,-118.168965,Public
California State University-Monterey Bay,36.653724,-121.799216,Public
California State University-Northridge,34.23671,-118.526817,Public
California State University-Sacramento,38.55745,-121.42194,Public
California State University-San Bernardino,34.182987,-117.322508,Public
California State University-San Marcos,33.130569,-117.159013,Public
California State University-Stanislaus,37.52577,-120.852511,Public
California University of Management and Sciences,33.842052,-117.941996,Private
California University of Pennsylvania,40.066473,-79.884477,Public
California Western School of Law,32.72194,-117.162597,Private
Calumet College of Saint Joseph,41.670925,-87.492987,Private
Calvary University,38.838169,-94.546238,Private
Calvin College,42.929916,-85.587548,Private
Calvin Theological Seminary,42.92992,-85.587354,Private
Cambridge College,42.369193,-71.11084,Private
Cameron University,34.606487,-98.434163,Public
Campbell University,35.409149,-78.738238,Private
Campbellsville University,37.343342,-85.348943,Private
Canisius College,42.925319,-78.851794,Private
Capella University,44.976186,-93.268714,For-Profit
Capital University,39.954875,-82.937867,Private
Capitol Technology University,39.047047,-76.851413,Private
Cardinal Stritch University,43.139752,-87.909045,Private
Career Networks Institute,33.776152,-117.860347,For-Profit
Career Point College,29.49252,-98.551321,For-Profit
Careers Unlimited,40.274853,-111.7314,For-Profit
Carleton College,44.462304,-93.154662,Private
Carlos Albizu University-Miami,25.795162,-80.355002,Private
Carlow University,40.439851,-79.963927,Private
Carnegie Mellon University,40.444616,-79.942914,Private
Carolina Christian College,36.146168,-80.256252,Private
Carolina College of Biblical Studies,35.05141,-78.939514,Private
Carroll College,46.602202,-112.04053,Private
Carroll University,43.004647,-88.227962,Private
Carson-Newman University,36.122224,-83.492183,Private
Carthage College,42.622893,-87.820706,Private
Carver Bible College,33.723362,-84.515547,Private
Cascadia College,47.759958,-122.191108,Public
Case Western Reserve University,41.500812,-81.605769,Private
Castleton University,43.607982,-73.181486,Public
Catawba College,35.691443,-80.482751,Private
Catholic Distance University,39.28763,-77.860321,Private
Catholic Theological Union at Chicago,41.798059,-87.585772,Private
Catholic University of America,38.935796,-76.998961,Private
Cazenovia College,42.931946,-75.854054,Private
Cedar Crest College,40.586318,-75.519221,Private
Cedarville University,39.750338,-83.812098,Private
Centenary College of Louisiana,32.483335,-93.730834,Private
Centenary University,40.848693,-74.832775,Private
Central Baptist College,35.084574,-92.444102,Private
Central Baptist Theological Seminary,39.009412,-94.838449,Private
Central Christian College of Kansas,38.357964,-97.667373,Private
Central Christian College of the Bible,39.395963,-92.427259,Private
Central College,41.401539,-92.922199,Private
Central Connecticut State University,41.690258,-72.770094,Public
Central Methodist University-College of Graduate and Extended Studies,39.150383,-92.686156,Private
Central Methodist University-College of Liberal Arts and Sciences,39.150534,-92.685276,Private
Central Michigan University,43.591203,-84.77525,Public
Central Penn College,40.3049,-76.934461,For-Profit
Central State University,39.716465,-83.876795,Public
Central Washington University,47.002687,-120.538368,Public
Central Yeshiva Beth Joseph,40.6156,-73.959481,Private
Central Yeshiva Tomchei Tmimim Lubavitz,40.669694,-73.938778,Private
Centralia College,46.716302,-122.960746,Public
Centre College,37.645102,-84.779175,Private
Centura College-Virginia Beach,36.837641,-76.064503,For-Profit
Chadron State College,42.8199,-103.001615,Public
Chamberlain College of Nursing-Arizona,33.56573,-112.104421,For-Profit
Chamberlain College of Nursing-California,38.596193,-121.278258,For-Profit
Chamberlain College of Nursing-Florida,30.243517,-81.586421,For-Profit
Chamberlain College of Nursing-Georgia,33.9117,-84.350721,For-Profit
Chamberlain College of Nursing-Illinois,41.949727,-88.038558,For-Profit
Chamberlain College of Nursing-Indiana,39.91916,-86.111061,For-Profit
Chamberlain College of Nursing-Michigan,42.556474,-83.150516,For-Profit
Chamberlain College of Nursing-Missouri,38.70204,-90.436221,For-Profit
Chamberlain College of Nursing-Nevada,36.185176,-115.313525,For-Profit
Chamberlain College of Nursing-New Jersey,40.465934,-74.438877,For-Profit
Chamberlain College of Nursing-North Carolina,35.13766,-80.931971,For-Profit
Chamberlain College of Nursing-Ohio,39.940449,-82.940493,For-Profit
Chamberlain College of Nursing-Texas,29.838386,-95.560414,For-Profit
Chamberlain College of Nursing-Virginia,38.852326,-77.050273,For-Profit
Chaminade University of Honolulu,21.290274,-157.807642,Private
Champlain College,44.47295,-73.204354,Private
Chapman University,33.793678,-117.851481,Private
Charles R Drew University of Medicine and Science,33.925658,-118.242791,Private
Charleston School of Law,32.790803,-79.938087,For-Profit
Charleston Southern University,32.981986,-80.069288,Private
Charlotte Christian College and Theological Seminary,35.242999,-80.802527,Private
Charlotte School of Law,35.224834,-80.843305,For-Profit
Charter College,45.617798,-122.494766,For-Profit
Charter College-Canyon Country,34.408326,-118.462007,For-Profit
Charter Oak State College,41.688246,-72.767972,Public
Chatham University,40.448432,-79.926083,Private
Chestnut Hill College,40.08678,-75.228742,Private
Cheyney University of Pennsylvania,39.932293,-75.529378,Public
Chicago State University,41.718813,-87.610344,Public
Chicago Theological Seminary,41.785701,-87.591178,Private
Chipola College,30.790647,-85.231946,Public
Chowan University,36.436258,-77.099141,Private
