"company","streetadd","place","state","zip","address","lon","lat"
"DISH Network","9601 S. Meridian Blvd.","Englewood","Colorado",80112,"9601 S. Meridian Blvd., Englewood, Colorado",-104.8561335,39.5457044
"Las Vegas Sands","3355 Las Vegas Blvd. S.","Las Vegas","Nevada",89109,"3355 Las Vegas Blvd. S., Las Vegas, Nevada",-115.1696526,36.121174
"Kellogg","1 Kellogg Sq.","Battle Creek","Michigan",49017,"1 Kellogg Sq., Battle Creek, Michigan",-85.1863294,42.3208694
"Loews","667 Madison Ave.","New York","New York",10065,"667 Madison Ave., New York, New York",-73.9701995,40.7644359
"CBS","51 W. 52nd St.","New York","New York",10019,"51 W. 52nd St., New York, New York",-73.9788203,40.761179
"Ecolab","370 Wabasha St. N.","St. Paul","Minnesota",55102,"370 Wabasha St. N., St. Paul, Minnesota",-93.0941778,44.9461828
"Whole Foods Market","550 Bowie St.","Austin","Texas",78703,"550 Bowie St., Austin, Texas",-97.7528921,30.2706347
"Chubb","15 Mountain View Rd.","Warren","New Jersey",7059,"15 Mountain View Rd., Warren, New Jersey",-74.5633545,40.6436459
"Health Net","21650 Oxnard St.","Woodland Hills","California",91367,"21650 Oxnard St., Woodland Hills, California",-118.6010616,34.1787318
"Waste Management","1001 Fannin St.","Houston","Texas",77002,"1001 Fannin St., Houston, Texas",-95.3639415,29.7557923
"Apache","2000 Post Oak Blvd.","Houston","Texas",77056,"2000 Post Oak Blvd., Houston, Texas",-95.4640406,29.7445565
"Textron","40 Westminster St.","Providence","Rhode Island",2903,"40 Westminster St., Providence, Rhode Island",-71.4092955,41.8249048
"Synnex","44201 Nobel Dr.","Fremont","California",94538,"44201 Nobel Dr., Fremont, California",-121.9799896,37.4970796
"Marriott International","10400 Fernwood Rd.","Bethesda","Maryland",20817,"10400 Fernwood Rd., Bethesda, Maryland",-77.1382699,39.0247171
"Viacom","1515 Broadway","New York","New York",10036,"1515 Broadway, New York, New York",-73.9861364,40.7575262
"Lincoln National","150 N. Radnor Chester Rd.","Radnor","Pennsylvania",19087,"150 N. Radnor Chester Rd., Radnor, Pennsylvania",-75.3658121,40.0430349
"Nordstrom","1617 Sixth Ave.","Seattle","Washington",98101,"1617 Sixth Ave., Seattle, Washington",-122.3364045,47.6124423
"C.H. Robinson Worldwide","14701 Charlson Rd.","Eden Prairie","Minnesota",55347,"14701 Charlson Rd., Eden Prairie, Minnesota",-93.4606427,44.8208431
"Edison International","2244 Walnut Grove Ave.","Rosemead","California",91770,"2244 Walnut Grove Ave., Rosemead, California",-118.0808098,34.0539466
"Marathon Oil","5555 San Felipe St.","Houston","Texas",77056,"5555 San Felipe St., Houston, Texas",-95.4715705,29.7493564
"Yum Brands","1441 Gardiner Lane","Louisville","Kentucky",40213,"1441 Gardiner Lane, Louisville, Kentucky",-85.695749,38.1981365
"Computer Sciences","3170 Fairview Park Dr.","Falls Church","Virginia",22042,"3170 Fairview Park Dr., Falls Church, Virginia",-77.2143783,38.8604305
"Parker-Hannifin","6035 Parkland Blvd.","Cleveland","Ohio",44124,"6035 Parkland Blvd., Cleveland, Ohio",-81.4611707,41.5065902
"DaVita HealthCare Partners","2000 16th St.","Denver","Colorado",80202,"2000 16th St., Denver, Colorado",-105.00415,39.7535072
"CarMax","12800 Tuckahoe Creek Pkwy.","Richmond","Virginia",23238,"12800 Tuckahoe Creek Pkwy., Richmond, Virginia",-77.6706303,37.6403816
"Texas Instruments","12500 TI Blvd.","Dallas","Texas",75243,"12500 TI Blvd., Dallas, Texas",-96.7526654,32.9117026
"WellCare Health Plans","8725 Henderson Rd.","Tampa","Florida",33634,"8725 Henderson Rd., Tampa, Florida",-82.5488209,28.0306431
"Marsh & McLennan","1166 Ave. of the Americas","New York","New York",10036,"1166 Ave. of the Americas, New York, New York",-73.9820448,40.7568582
"Consolidated Edison","4 Irving Place","New York","New York",10003,"4 Irving Place, New York, New York",-73.9883294,40.7341443
"Oneok","100 W. Fifth St.","Tulsa","Oklahoma",74103,"100 W. Fifth St., Tulsa, Oklahoma",-95.9916855,36.1505651
"Visa","900 Metro Center Blvd.","Foster City","California",94404,"900 Metro Center Blvd., Foster City, California",-122.2759338,37.5596647
"Jacobs Engineering Group","155 N. Lake Ave.","Pasadena","California",91101,"155 N. Lake Ave., Pasadena, California",-118.1327948,34.1484824
"CSX","500 Water St.","Jacksonville","Florida",32202,"500 Water St., Jacksonville, Florida",-81.6641069,30.3245127
"Entergy","639 Loyola Ave.","New Orleans","Louisiana",70113,"639 Loyola Ave., New Orleans, Louisiana",-90.0768302,29.9489612
"Facebook","1601 Willow Rd.","Menlo Park","California",94025,"1601 Willow Rd., Menlo Park, California",-122.1501478,37.4833834
"Dominion Resources","120 Tredegar St.","Richmond","Virginia",23219,"120 Tredegar St., Richmond, Virginia",-77.4538384,37.5336838
"Leucadia National","520 Madison Ave.","New York","New York",10022,"520 Madison Ave., New York, New York",-73.9744693,40.7601424
"Toys R"" Us""""""","1 Geoffrey Way","Wayne","New Jersey",7470,"1 Geoffrey Way, Wayne, New Jersey",-74.254132,40.9794234
"DTE Energy","1 Energy Plaza","Detroit","Michigan",48226,"1 Energy Plaza, Detroit, Michigan",-83.0576575,42.3336747
"Ameriprise Financial","1099 Ameriprise Financial Cen","Minneapolis","Minnesota",55474,"1099 Ameriprise Financial Cen, Minneapolis, Minnesota",-93.2698914,44.9726666
"VF","105 Corporate Center Blvd.","Greensboro","North Carolina",27408,"105 Corporate Center Blvd., Greensboro, North Carolina",-79.7989009,36.1221552
"Praxair","39 Old Ridgebury Rd.","Danbury","Connecticut",6810,"39 Old Ridgebury Rd., Danbury, Connecticut",-73.5310684,41.3830288
"J.C. Penney","6501 Legacy Dr.","Plano","Texas",75024,"6501 Legacy Dr., Plano, Texas",-96.8322526,33.0821304
"Automatic Data Processing","1 ADP Blvd.","Roseland","New Jersey",7068,"1 ADP Blvd., Roseland, New Jersey",-74.3101712,40.8157157
"L-3 Communications","600 Third Ave.","New York","New York",10016,"600 Third Ave., New York, New York",-73.9759092,40.7493238
"CDW","200 N. Milwaukee Ave.","Vernon Hills","Illinois",60061,"200 N. Milwaukee Ave., Vernon Hills, Illinois",-87.94359,42.2292779
"Guardian Life Ins. Co. of Ameri","7 Hanover Sq.","New York","New York",10004,"7 Hanover Sq., New York, New York",-74.009493,40.7041411
"Xcel Energy","414 Nicollet Mall","Minneapolis","Minnesota",55401,"414 Nicollet Mall, Minneapolis, Minnesota",-93.2705091,44.9795754
"Norfolk Southern","3 Commercial Place","Norfolk","Virginia",23510,"3 Commercial Place, Norfolk, Virginia",-76.28818,36.8449433
"PPL","2 N. Ninth St.","Allentown","Pennsylvania",18101,"2 N. Ninth St., Allentown, Pennsylvania",-75.4761183,40.6017169
"R.R. Donnelley & Sons","111 S. Wacker Dr.","Chicago","Illinois",60606,"111 S. Wacker Dr., Chicago, Illinois",-87.6364499,41.8802886
"Huntsman","500 Huntsman Way","Salt Lake City","Utah",84108,"500 Huntsman Way, Salt Lake City, Utah",-111.8191017,40.7593185
"Bed Bath & Beyond","650 Liberty Ave.","Union","New Jersey",7083,"650 Liberty Ave., Union, New Jersey",-74.3046712,40.6975106
"Stanley Black & Decker","1000 Stanley Dr.","New Britain","Connecticut",6053,"1000 Stanley Dr., New Britain, Connecticut",-72.8078946,41.6936214
"L Brands","3 Limited Pkwy.","Columbus","Ohio",43230,"3 Limited Pkwy., Columbus, Ohio",-82.896895,40.0543753
"Liberty Interactive","12300 Liberty Blvd.","Englewood","Colorado",80112,"12300 Liberty Blvd., Englewood, Colorado",-104.8458268,39.553764
"Farmers Insurance Exchange","4680 Wilshire Boulevard","Los Angeles","California",90010,"4680 Wilshire Boulevard, Los Angeles, California",-118.3315235,34.0615384
"First Data","5565 Glenridge Connector N.E.","Atlanta","Georgia",30342,"5565 Glenridge Connector N.E., Atlanta, Georgia",-84.3600377,33.9054525
"Sherwin-Williams","101 W. Prospect Ave.","Cleveland","Ohio",44115,"101 W. Prospect Ave., Cleveland, Ohio",-81.6924983,41.4972774
"BlackRock","55 E. 52nd St.","New York","New York",10055,"55 E. 52nd St., New York, New York",-73.9735483,40.7592391
"Voya Financial","230 Park Avenue","New York","New York",10169,"230 Park Avenue, New York, New York",-73.9761684,40.7544036
"Ross Stores","5130 Hacienda Dr.","Dublin","California",94568,"5130 Hacienda Dr., Dublin, California",-121.8900734,37.7103486
"Sempra Energy","101 Ash St.","San Diego","California",92101,"101 Ash St., San Diego, California",-117.163417,32.719315
"Estee Lauder","767 Fifth Ave.","New York","New York",10153,"767 Fifth Ave., New York, New York",-73.9726971,40.7636433
"H.J. Heinz","1 PPG Place","Pittsburgh","Pennsylvania",15222,"1 PPG Place, Pittsburgh, Pennsylvania",-80.0034788,40.4398819
